id,user_id,subject_id,day,period,start_time,end_time,room,department,semester
2becc730-f924-44ac-b4fb-5aafdba6b83d,d2b75637-ca0f-4886-b38e-622eee3277af,1cd3baf4-15ab-41bc-86de-51cc6ef4c50b,Friday,1,08:00:00,08:55:00,CR 5,,
36fa7fdf-2dce-479d-b6c1-9189bd57d91f,d2b75637-ca0f-4886-b38e-622eee3277af,1cd3baf4-15ab-41bc-86de-51cc6ef4c50b,Friday,2,08:55:00,09:50:00,CR 5,,
3f80dd5a-b8e1-4e19-812d-3b45845df122,d2b75637-ca0f-4886-b38e-622eee3277af,a7c07e9c-8457-4eb5-bf4a-0ebef303c151,Friday,3,10:10:00,11:05:00,CR 5,,
c55e7e4c-f75f-43de-b3cd-f59c9890e5d1,d2b75637-ca0f-4886-b38e-622eee3277af,8073baed-1c3e-4821-8817-b3a6c24dd27a,Friday,4,11:05:00,12:00:00,CR 5,,
59be4d4b-df8f-4ec3-b369-fc01af9a518e,d2b75637-ca0f-4886-b38e-622eee3277af,6bbd2953-084e-483b-9fbb-81e4ebb4e6c1,Friday,5,13:00:00,13:50:00,IoT Lab,,
03c6bb96-08dc-4f59-9987-aa836a2fe5d3,d2b75637-ca0f-4886-b38e-622eee3277af,6bbd2953-084e-483b-9fbb-81e4ebb4e6c1,Friday,6,13:50:00,14:40:00,IoT Lab,,
5e421998-1928-4896-bc5c-7ef7a608abc3,d2b75637-ca0f-4886-b38e-622eee3277af,1cd13ef9-b5ff-481e-870d-40b6ba720f25,Friday,7,14:55:00,15:45:00,CR 5,,
f349d851-1600-4512-87b3-87bf81dc3dda,d2b75637-ca0f-4886-b38e-622eee3277af,1cd3baf4-15ab-41bc-86de-51cc6ef4c50b,Saturday,1,08:00:00,08:55:00,CR 5,,
4095cb9e-b684-4301-a996-c4f004e1d087,d2b75637-ca0f-4886-b38e-622eee3277af,900e218d-baea-4684-9d08-29c8a183b763,Saturday,2,08:55:00,09:50:00,CR 5,,
044d9104-0064-475f-a104-b3ee8d131412,d2b75637-ca0f-4886-b38e-622eee3277af,8073baed-1c3e-4821-8817-b3a6c24dd27a,Saturday,3,10:10:00,11:05:00,CR 5,,
35dfe332-8d13-43ad-bcb6-197d8244417a,d2b75637-ca0f-4886-b38e-622eee3277af,1fa0b4de-2eff-4eaf-babe-f07f1a754523,Saturday,4,11:05:00,12:00:00,CR 5,,
9aade13f-96c2-4e12-9657-9904d1dd944b,d2b75637-ca0f-4886-b38e-622eee3277af,a7c07e9c-8457-4eb5-bf4a-0ebef303c151,Saturday,5,13:00:00,13:50:00,CR 5,,
fb1c5750-80f8-41a8-a1f5-86084a1f737a,d2b75637-ca0f-4886-b38e-622eee3277af,1537387e-4a54-4bfa-8f58-d04d1c773082,Saturday,6,13:50:00,14:40:00,CR 5,,
02010ba9-02bf-4657-a67a-b1fa5a47a753,d2b75637-ca0f-4886-b38e-622eee3277af,1cd13ef9-b5ff-481e-870d-40b6ba720f25,Saturday,7,14:55:00,15:45:00,CR 5,,
